"","treatment","metric","value","expt","population"
"78","25","fecundity",1,1,NA
"79","25","fecundity",4,1,NA
"80","25","fecundity",5,1,NA
"81","25","fecundity",2,1,NA
"82","25","fecundity",2,1,NA
"83","25","fecundity",2,1,NA
"84","25","fecundity",2,1,NA
"85","25","fecundity",2,1,NA
"86","13","dev_rate",0.0952380952380952,1,NA
"87","13","dev_rate",0.0833333333333333,1,NA
"88","13","dev_rate",0.0909090909090909,1,NA
"89","13","dev_rate",0.105263157894737,1,NA
"90","13","dev_rate",0.1,1,NA
"91","13","dev_rate",0.0740740740740741,1,NA
"92","13","dev_rate",0.1,1,NA
"93","13","dev_rate",0.08,1,NA
"94","13","dev_rate",0.1,1,NA
"95","13","dev_rate",0.105263157894737,1,NA
"96","13","dev_rate",0.111111111111111,1,NA
"97","13","dev_rate",0.133333333333333,1,NA
"98","13","dev_rate",0.111111111111111,1,NA
"99","13","dev_rate",0.1,1,NA
"100","13","dev_rate",0.0952380952380952,1,NA
"101","16","dev_rate",0.0952380952380952,1,NA
"102","16","dev_rate",0.105263157894737,1,NA
"103","16","dev_rate",0.117647058823529,1,NA
"104","16","dev_rate",0.111111111111111,1,NA
"105","16","dev_rate",0.105263157894737,1,NA
"106","16","dev_rate",0.0869565217391304,1,NA
"107","16","dev_rate",0.1,1,NA
"108","16","dev_rate",0.111111111111111,1,NA
"109","16","dev_rate",0.1,1,NA
"110","16","dev_rate",0.0952380952380952,1,NA
"111","16","dev_rate",0.0952380952380952,1,NA
"112","16","dev_rate",0.1,1,NA
"113","16","dev_rate",0.105263157894737,1,NA
"114","19","dev_rate",0.117647058823529,1,NA
"115","19","dev_rate",0.0909090909090909,1,NA
"116","19","dev_rate",0.105263157894737,1,NA
"117","19","dev_rate",0.0869565217391304,1,NA
"118","19","dev_rate",0.0833333333333333,1,NA
"119","19","dev_rate",0.0952380952380952,1,NA
"120","19","dev_rate",0.105263157894737,1,NA
"121","19","dev_rate",0.117647058823529,1,NA
"122","19","dev_rate",0.0869565217391304,1,NA
"123","19","dev_rate",0.111111111111111,1,NA
"124","19","dev_rate",0.105263157894737,1,NA
"125","19","dev_rate",0.117647058823529,1,NA
"126","19","dev_rate",0.105263157894737,1,NA
"127","19","dev_rate",0.117647058823529,1,NA
"128","19","dev_rate",0.105263157894737,1,NA
"129","19","dev_rate",0.125,1,NA
"130","21","dev_rate",0.111111111111111,1,NA
"131","21","dev_rate",0.105263157894737,1,NA
"132","21","dev_rate",0.0952380952380952,1,NA
"133","21","dev_rate",0.142857142857143,1,NA
"134","21","dev_rate",0.133333333333333,1,NA
"135","21","dev_rate",0.117647058823529,1,NA
"136","21","dev_rate",0.117647058823529,1,NA
"137","21","dev_rate",0.1,1,NA
"138","21","dev_rate",0.105263157894737,1,NA
"139","21","dev_rate",0.105263157894737,1,NA
"140","21","dev_rate",0.117647058823529,1,NA
"141","21","dev_rate",0.105263157894737,1,NA
"142","21","dev_rate",0.0952380952380952,1,NA
"143","21","dev_rate",0.125,1,NA
"144","21","dev_rate",0.117647058823529,1,NA
"145","21","dev_rate",0.133333333333333,1,NA
"146","23","dev_rate",0.125,1,NA
"147","23","dev_rate",0.133333333333333,1,NA
